JobCategory,Job ID,#OfPositions,Salary Range From,Salary Range To,Recruitment Contact
Administration & Human Resources,53988739,324,5959887.3444,8810724.786200002,
Administration & Human Resources Building Operations & Maintenance,3661567,9,510375.0,711818.0,
"Administration & Human Resources Building Operations & Maintenance Policy, Research & Analysis",1275216,3,162300.0,251943.0,
Administration & Human Resources Communications & Intergovernmental Affairs,699130,2,74502.0,116956.0,
"Administration & Human Resources Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Policy, Research & Analysis",390626,1,90000.0,100000.0,
"Administration & Human Resources Communications & Intergovernmental Affairs Health Public Safety, Inspections, & Enforcement",806140,2,130748.0,197816.0,
"Administration & Human Resources Communications & Intergovernmental Affairs Legal Affairs Policy, Research & Analysis",846044,4,159240.0,183126.0,
"Administration & Human Resources Communications & Intergovernmental Affairs Policy, Research & Analysis",413178,1,75000.0,90000.0,
"Administration & Human Resources Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",832404,2,63146.0,72618.0,
Administration & Human Resources Constituent Services & Community Programs,3350902,12,612300.0,711943.0,
"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Legal Affairs Policy, Research & Analysis",849286,50,31.0,39.8,
"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Health Policy, Research & Analysis Social Services",830150,2,146610.0,168602.0,
"Administration & Human Resources Constituent Services & Community Programs Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",775190,2,74434.0,123872.0,
"Administration & Human Resources Constituent Services & Community Programs Finance, Accounting, & Procurement Social Services",405455,1,58152.0,66875.0,
Administration & Human Resources Constituent Services & Community Programs Legal Affairs,834414,2,160000.0,200000.0,
"Administration & Human Resources Constituent Services & Community Programs Policy, Research & Analysis",354733,29,33875.0,54879.0,
"Administration & Human Resources Constituent Services & Community Programs Policy, Research & Analysis Social Services",2530607,6,420031.0,460031.0,
Administration & Human Resources Constituent Services & Community Programs Social Services,2510810,6,109961.0,163141.0,
"Administration & Human Resources Engineering, Architecture, & Planning Policy, Research & Analysis",806599,2,158309.0,177805.0,
"Administration & Human Resources Finance, Accounting, & Procurement",2790846,10,621336.0,898162.0,
"Administration & Human Resources Finance, Accounting, & Procurement Building Operations & Maintenance",793042,2,437174.0,437174.0,
"Administration & Human Resources Finance, Accounting, & Procurement Building Operations & Maintenance Policy, Research & Analysis",823770,2,90982.0,121320.0,
